,ISBN,Title,Author,Authors_Number,Description,Genres,Average_Ratings,Reviews_Number,Quotes_Number,Community_Size,Pages_Number,Editions,Publication_Year,Publisher,URL,Cover_URL
0,دار الشروق للنشر والتوزيع,أسرار الببغاء الإفريقي الرمادي,تأليف محمد زيادة (تأليف) محمدزياد (مشاركة),"المؤلفون
2","يحتاج الببغاء الافريقي الرمادي الى اكثر من الطعام والماء لكي يستمر في حياته ، فحاجاته متعددة يجب على مربيها فهم تلك الحاجات وتأمينها . كتاب ""اسرار الببغاء الافريقي الرمادي"" دليل المربي المبتدئ والمحترف للببغاوات الافريقية المتكلمة ، وستجد فيه كافة المعلومات التي تحتاجها لتلبية الحاجات الخاصة بهذا النوع الفريد من الطيور ، وحتى لو لم تكن قد اقتنيت مثل هذا الطائر ، فان هذا الكتاب سيخلق لديك الرغبة في اقتنائه . وفيه كل ما يخطر ببالك من معلومات عن الأنواع والسلوك والتغذية والتدريب والتقليد والكلام والذكاء والأمراض والمشكلات والعناية بهذا الطائر المتكلم ، ويعد الكتاب مرجعا كافيا للمربين . المؤلف محمد زيادة استشاري متخصص في تربية الطيور ودراسة سلوكها ، جمع بين الأسلوب العلمي والتجربة القائمة على التربية لمدة تزيد عن 15 عاماً، وفي هذا الكتاب يقدم خلاصة الدراسات ، والأبحاث العلمية ، والترجمات الأجنبية ، والتربية الخاصة ، والتجارب العملية ، والمقارنات ، والاستنتاجات ، ويجيب على جميع الاستفسارات ، والمشكلات ، والأمراض ، وكل ما يخطر ببالك حول هذه الشخصية المتكلمة من الطيور . الفهرس : الفصل الأول : خصائص واحتياجات وكيفية اختيار الرمادي الإفريقي مقدمة السلالات النوعية والأصول الموطن الأصلي لكلا السلالتين 1-	الرمادي الإفريقي الكونغو 2-	الببغاء الرمادية الإفريقية ""التيمنه"" الخصائص العامة للرمادي الإفريقي الشخصية الحساسية المفردات اللغوية والصوتيات الذكاء العواطف الإحتياجات الخاصة للرمادي الإفريقي المسوؤليات العواطف الإحتياجات الخاصة للرمادي الإفريقي المسؤوليات هل الخبرة ضرورية ؟ الببغاوات الرمادية الإفريقية والأطفال الببغاوات الرمادية الإفريقية والأنواع الأخرى الالتزام اختيار الببغاء الرمادية الإفريقية الاختيارات الصحيحة من أين تحصل على الطائر الإفريقي رمادي الون ؟ كيف تختار الطائر الرمادي الإفريقي ؟ الأيام القليلة الأولى في المنزل الحجر الصحي إسكان الطائر الرمادي الإفريقي الفصل الثاني: تغذية الببغاء الرمادية الإفريقية بذور عباد الشمس الوجبة الأساسية للطائر الرمادي تغذية فراخ الببغاء الرمادية البذور الخضروات والفواكه أطعمة المائدة الوجبات الخفيفة المكملات الغذائية المياه النقية الوجبة الصباحية وجبة منتصف النهار الوجبة المسائية إدخال أغذية جديدة التمارين والتغذية ملاحظة حول المثابرة الفصل الثالث : سلوك الببغاء الرمادي الإفريقي سلوك الببغاء الرمادي الإفريقي ذكاء الرمادي الإفريقي النطق التقليد "" والتكلم "" السلوكيات العادية تسوية الريش بالمنقار جلخ المنقار مسح المنقار النقر هز الرأس رفرفة الجناحين الوقفة المسطحة ، وهز الجناحين الاندفاع الرأس المنخفضة وريش الرقبة المنفوش المضغ الحفر الاعتداء على الألعاب النوم على قدم واحدة النوم مع وجود الرأس في الخلف نفش الريش التمطط التثاؤب الضرب بالذيل هز الذيل السلوكيات الإشكالية العض الصراخ المفرط الهدير والجعير تشويه الذات السلوكيات العصبية قبول سلوك الطائر الرمادي الإفريقي الفصل الرابع : تدريب الطائر الرمادي تدريب الطائر الرمادي وتأهيله اجتماعياً التفاعل الإجتماعي الترويض اليدوي تدريب الطيور الرمادية الكبيرة تدريب طائرك الرمادي الإفريقي التعزيز الإيجابي أعمال ممنوعة أثناء التدريب دروس التدريب الأساسية تعليم الطائر "" التقدم"" طريقة القطع التدريجي أهمية التدريب الوتدي دروس تدريب متقدمة التدريب على الأعمال البارعة تعليم الطائر الرمادي الحديث تعليم الببغاوات الرمادية الإفريقية الفصل الخامس : كل ما يتعلق بريش الببغاء الإفريقي الرمادي مقدمة عن ريش الإفريقي الرمادي صورة توضيحية لأنواع الريش في الببغاء الرمادية الإفريقية أنواع الريش الريش ومشكلاته طرح الريش وتفسيرات أخرى لنتف الريش مضغ الريش أو تقطيعه أو خلع أطرافه كسر الريش نتف الريش كلياً تشويه الذات الأسباب المحتملة لإتلاف الطائر لريشه (نتف الريش) طرق معالجة ظاهرة اتلاف الريش (نتف الريش) تقليم وقص ريش الجناحين القص أو عدم القص كيف تقص جناحي طائرك الرمادي ؟ كيف تمسك طائرك جيداً عند القص ؟ طرح الريش العناية بعملة طرح الريش لدى الرمادي الإفريقي تقليم الأظافر استحمام الطائر الرمادي الإفريقي التقاط ريش الطائر الرمادي هل من الضروري تهذيب المنقار ؟ الفصل السادس : العناية الصحية بالببغاء الإفريقية الرمادية صورة تشريحية للأعضاء الداخلية للببغاء الرمادية الإفريقية صورة تشريحية للجهاز العظمي للببغاء الرمادية الإفريقية صورة توضيحية للتشريح السطحي للببغاء الرمادية الإفريقية صورة توضيحية لأهم الوظائف للببغاء الرمادية الإفريقية اختيار اختصاصي بيطري للطيور الفحص الأولي للطائر الفحص السنوي الحجر الصحي إشارات المرض وأعراضه الأمراض الشائعة والاعتلال إبقاء المنزل آمناً للطائر الرمادي الحيوانات الأخرى الماء الراكد المنتجات المنزلية الشائعة الأشجار المنزلية السامة مراوح السقف النوافذ والأبواب المفتوحة الأطعمة السامة الأجهزة والأسلاك الكهربائية تقلبات درجة الحرارة المرايا والزجاج الأدوية البشرية نواحي الإستجابة الطارئة تصنيع قفص مستشفى التعامل مع الريش النازف المتكسر وجود الزيت على الريش الاستجابة الفورية لإرتفاع درجة الحرارة أسئلة متكررة.",زراعة وحيوان علم الحيوان,3.6,"مراجعات
15","اقتباسات
5","القرّاء
265",220 صفحة,"طبعات
1",نشر سنة 2012,,https://www.abjjad.com/book/2172519734/%D8%A7%D8%B3%D8%B1%D8%A7%D8%B1-%D8%A7%D9%84%D8%A8%D8%A8%D8%BA%D8%A7%D8%A1-%D8%A7%D9%84%D8%A7%D9%81%D8%B1%D9%8A%D9%82%D9%8A-%D8%A7%D9%84%D8%B1%D9%85%D8%A7%D8%AF%D9%8A/2172716345/reviews,https://abjjadst.blob.core.windows.net/pub/69cf4326-4736-4866-9758-7787452c09b1-192X290.JPG
1,ISBN 977-10-1322-x,أساسيات علم النبات العام,تأليف محمود محمد جبر (تأليف) عفت فهمي شبانة (تأليف) إسماعيل محمد كامل (تأليف),"المؤلفون
3",يهدف إلي عرض المادة العلمية وتقديمها للأساتذة والطلاب في صورة واضحة بحيث يمكن علي أساسها تخطيط برنامج لأي مقرر من علم النبات براد تدريسة حاويا كل العناصر في صورة نأمل أن تكون متكاملة. ولا شك أن هذا الكتاب يفيد الدارسين لأنه قدم عرضا مبسطا وشاملا لمعظم أفرع علم النبات بدءا من الأشكال الظاهرية والتراكيب التشريحية للنباتات الراقية، ثم تقسيم الكائنات الحية عموما إلي ممالك. منها المملكة النباتية، التي تضم الحزازيات ثم النباتات الوعائية معراة البذور ومغطاه البذور، بينما اشتملت مملكة مونيرا علي السيانوبكتيرا (الطحالب الزرقاء المخضرة) والبكتريا الحقيقية مما يسمي بالنباتات بدائية النواة (prokaryotic). ثم مملكة الفطريات التي تضم كل أنواع الفطريات ومملكة بروتستا شاملة العشائر الطحلبية الراقية ومجموعتها المختلفة. وتم تدعيم ذلك كله بالصور والأشكال والرسومات التوضيحية بالدقة والعناية المطلوبين. كما أن الكتاب يسوق في الباب الثالث منع عرضاً وافيا عن الأنشطة الفيسولوجية للنباتات الراقية من جوانب عديدة موضحا ومعطيا مدلولات مقنعة للظواهر الفيسولوجية للنباتات وبيولوجيتها مع تفاعلها بالبيئة.,زراعة وحيوان علم النبات,4.4,"مراجعات
1","اقتباسات
2","القرّاء
107",583 صفحة,"طبعات
1",نشر سنة 2008,,https://www.abjjad.com/book/2184347778/%D8%A7%D8%B3%D8%A7%D8%B3%D9%8A%D8%A7%D8%AA-%D8%B9%D9%84%D9%85-%D8%A7%D9%84%D9%86%D8%A8%D8%A7%D8%AA-%D8%A7%D9%84%D8%B9%D8%A7%D9%85/2184577154/reviews,https://abjjadst.blob.core.windows.net/pub/82493622-2205-4bd6-ac2e-cb7cb07ebced-192X290.PNG
2,دار الحكايات للطباعة والنشر والتوزيع,دليلك إلى زراعة الخضار والفاكهة والأعشاب,تأليف محمد خليل فرحات (تأليف),"المؤلفون
1","هذا الكتاب هو عبارة عن دليل يساعد في زراعة الخضار والفاكهة والأعشاب موجه إلى الحدائقيين أو الذين يهتمون بالزراعة حيث عمل المؤلف على إدراج معلومات قيمة ومفيدة شرحها بطريقة سهلة ووافية مستعيناً بالصور والجداول.ومن أجل الإحاطة بالموضوع بشكل كافي قام بتقسيم كتابه إلى سبعة فصول توزعت على الشكل التالي: الفصل الأول: ""الإعداد للزراعة"": الإستعداد للزراعة، إختبار التربة، تحسين التربة، التخطيط للزراعة؛ الفصل الثاني: الزراعة؛ إختيار أفضل النباتات؛ الفصل الثالث: العناية اللاحقة بالنباتات، أعمال البستنة، ريّ النباتات الجديدة، تغذية النباتات، التعشيب، تسوية التربة، حماية النباتات؛ الفصل الرابع: توجيه نمو النبتة والتقليم، فوائد التقليم، طرق توجيه النبتة، إسناد النبتة وتعريشها؛ الفصل الخامس: التكاثر النباتي، البدء من البذور، التكاثر والأعشاب؛ الفصل السادس: مشاكل النباتات، العناية الصحية بالنباتات؛ الفصل السابع: عرض للعناية بالخضار والفواكه والأعشاب، التحويلات المترية.",زراعة وحيوان تنمية زراعية زراعة وحيوان زراعة عامة,2.4,"مراجعات
1","اقتباسات
2","القرّاء
101",272 صفحة,"طبعات
1",نشر سنة 2009,,https://www.abjjad.com/book/2193654092/%D8%AF%D9%84%D9%8A%D9%84%D9%83-%D8%A7%D9%84%D9%89-%D8%B2%D8%B1%D8%A7%D8%B9%D8%A9-%D8%A7%D9%84%D8%AE%D8%B6%D8%A7%D8%B1-%D9%88%D8%A7%D9%84%D9%81%D8%A7%D9%83%D9%87%D8%A9-%D9%88%D8%A7%D9%84%D8%A7%D8%B9%D8%B4%D8%A7%D8%A8/2193883469/reviews,https://abjjadst.blob.core.windows.net/pub/7e271a7f-8dff-4155-b318-b3f6438947a6-192X290.gif
3,ISBN 13 9789953281506,موسوعة عالم الحيوان - حيوانات ما قبل التاريخ,تأليف أنياس فوندويل (تأليف) أنطوان الهاشم (ترجمة),"المؤلفون
2","موسوعة جديدة، تعرفنا على عالم الحيوان بكل تنوعاته وأشكاله، ابتداءً من حيوانات ما قبل التاريخ مروراً بالحيوانات التي نراها أو نسمع عنها في كل زمان ومكان، فتكشف لنا أسرارها وعالمها الواسع وطريقة تواجدها وعيشها.

موسوعة بالفعل رائعة، تعتبر مرجعاً فريداً لكل الأولا ومرجعاً أيضاً للكبار من مختلف الأعمار. ",كتب أطفال كتب تعليمية زراعة وحيوان علم الحيوان,3.2,"مراجعات
1","اقتباسات
1","القرّاء
99",25 صفحة,"طبعات
1",نشر سنة 2010,,https://www.abjjad.com/book/2199945281/%D9%85%D9%88%D8%B3%D9%88%D8%B9%D8%A9-%D8%B9%D8%A7%D9%84%D9%85-%D8%A7%D9%84%D8%AD%D9%8A%D9%88%D8%A7%D9%86-%D8%AD%D9%8A%D9%88%D8%A7%D9%86%D8%A7%D8%AA-%D9%85%D8%A7-%D9%82%D8%A8%D9%84-%D8%A7%D9%84%D8%AA%D8%A7%D8%B1%D9%8A%D8%AE/2200174657/reviews,https://abjjadst.blob.core.windows.net/pub/8a1750cd-21fb-4fd0-9fe3-8d972be15e33-192X290.jpg
4,ISBN 9957423541,الزراعة في المنزل ( مواعيد زراعة وتقليم ورش الأشجار المثمرة وأشجار الزينة الداخلية والخارجية ),تأليف إيمان كفاوين (تأليف),"المؤلفون
1",يزودك الكتاب بمعلومات عن النباتات المنزلية الداخيلة ونباتات الزينة الداخلية ، والخارجية ، والأشجار المثمرة ، والنباتات ، وكيفية الاهتمام بها من حيث توافر الحرارة والإضاءة والتهوية والتقليم ، والتسميد ، ومكافحة الأمراض ، وحل مشكلات الري ، فضلا عن كيفية الاستفادة من الأصص وعرض النباتات . ,زراعة وحيوان زراعة عامة,4,"مراجعات
1",اقتباسات,"القرّاء
94",160 صفحة,"طبعات
1",نشر سنة 2010,,https://www.abjjad.com/book/2177599585/%D8%A7%D9%84%D8%B2%D8%B1%D8%A7%D8%B9%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D9%86%D8%B2%D9%84-%D9%85%D9%88%D8%A7%D8%B9%D9%8A%D8%AF-%D8%B2%D8%B1%D8%A7%D8%B9%D8%A9-%D9%88%D8%AA%D9%82%D9%84%D9%8A%D9%85-%D9%88%D8%B1%D8%B4-%D8%A7%D9%84%D8%A7/2177828969/reviews,https://abjjadst.blob.core.windows.net/pub/51d3b03e-f07d-4580-8df4-bf9211b35892-192X290.png
5,ISBN 977-10-1639-3,أساسيات علم الحيوان,تأليف منى شرقاوي علي (تأليف) يحيى العاصي (تأليف) محمد إسماعيل محمد (تأليف) حلمي بشاي (تأليف) تغريد عبد الرحمن (تأليف),"المؤلفون
5","يعرض فروع علم الحيوان بأسلوب سلس يشمل أحدث ما وصل إليه علم الحيوان من اكتشافات ينبغي علي دارسي علم الحيوان الإلمام بها، ومن واقع خبرة المؤلفين التدريسية لسنوات طويلة فقد رأوا توفير هذا المرجع الحديث دون إيجاز أو أسهاب ليتضمن "" أساسيات علم الحيوان "" بدءا من المادة فتركيب الخلية وأيضا الاكتشافات الحديثة في وظائف الأعضاء، يلي ذلك أمثلة من المملكة الحيوانية من الأوليات حتى الإنسان في أسلوب واضح وشيق مدعما بالأشكال التوضيحية واللوحات الملونة والذي لا يتضمن فقط عرض الأساسيات التي ينبغي لدارسي علم الحيوان أن يلم بها، ولكن هناك إشارة لأهمية هذه الدراسات وعلاقتها بالإنسان سواء من الناحية الطبية أو أهميتها في البحوث البيولوجية، والتي تقدمت تقدما كبيرا منذ منصف القرن العشرين حتى الآن.",زراعة وحيوان علم الحيوان,3.9,"مراجعات
2","اقتباسات
2","القرّاء
75",944 صفحة,"طبعات
1",نشر سنة 2010,,https://www.abjjad.com/book/2184216874/%D8%A7%D8%B3%D8%A7%D8%B3%D9%8A%D8%A7%D8%AA-%D8%B9%D9%84%D9%85-%D8%A7%D9%84%D8%AD%D9%8A%D9%88%D8%A7%D9%86/2184446254/reviews,https://abjjadst.blob.core.windows.net/pub/424abaa6-9e3b-4c27-8e84-73296a35f8ab-192X290.PNG
6,الدار العربية للنشر والتوزيع,أساسيات إنتاج الخضر وتكنولوجيا الزراعات المكشوفة المحمية (الصوبات),تأليف أحمد عبد المنعم حسن (تأليف),"المؤلفون
1",أعد هذا الكتاب ليكون مرجعاً شاملاً لكل جوانب أساسيات الخضر، ومتضمناً كافة التقيات الحديثة في مجال إنتاجها في كل من المزروعات المحمية (الصوبات) والمكشوفة. وقد قسم الكتاب إلى ثمانية أقسام رئيسية. ,زراعة وحيوان إنتاج وحماية المحاصيل,3.2,"مراجعات
1",اقتباسات,"القرّاء
64",922 صفحة,"طبعات
1",نشر سنة 2012,,https://www.abjjad.com/book/2213052652/%D8%A7%D8%B3%D8%A7%D8%B3%D9%8A%D8%A7%D8%AA-%D8%A7%D9%86%D8%AA%D8%A7%D8%AC-%D8%A7%D9%84%D8%AE%D8%B6%D8%B1-%D9%88%D8%AA%D9%83%D9%86%D9%88%D9%84%D9%88%D8%AC%D9%8A%D8%A7-%D8%A7%D9%84%D8%B2%D8%B1%D8%A7%D8%B9%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D9%83%D8%B4/2213282032/reviews,https://abjjadst.blob.core.windows.net/pub/73008149-d873-4544-ad32-9a58963b7389-192X290.jpg
7,ISBN 8 – 009 – 383 – 977,تربية نحل العسل: كيف تنشىء منحلاً (للمربين والمبتدئين),تأليف صبحي سليمان (تأليف),"المؤلفون
1",هو كنز من الدُر والجوهر موضوع أمامك فاغترف منه أنا شئت؛ فهو عالم من الجمال والمتعة ممزوجان معاً فى قالب جميل الشكل؛ وعسلى الطعم؛ إنه عالم نحل العسل… تلك الحشرات الصغيرة الذى يعمل ليل نهار لخدمتك وإسعادك إن لم يكن بالمال كان بالعسل الشهى الذى يقى من الأمراض؛ ويهديك صحة لا تُقهر بإذن الله، حيث يستعرض هذا الكتاب كيف يعمل النحل، وكيف يبنى خليته؛ حيث ستتعلم من خلال هذا الكتاب أن تنشىء منحل منذ البداية إلى النهاية كى تحصل على المحصول الوفير الذى يُعطيك اعلى عائد مادى.,زراعة وحيوان علم الحيوان,3.9,"مراجعات
2","اقتباسات
1","القرّاء
62",321 صفحة,"طبعات
1",نشر سنة 2004,,https://www.abjjad.com/book/2184184170/%D8%AA%D8%B1%D8%A8%D9%8A%D8%A9-%D9%86%D8%AD%D9%84-%D8%A7%D9%84%D8%B9%D8%B3%D9%84-%D9%83%D9%8A%D9%81-%D8%AA%D9%86%D8%B4%D9%89%D8%A1-%D9%85%D9%86%D8%AD%D9%84%D8%A7-%D9%84%D9%84%D9%85%D8%B1%D8%A8%D9%8A%D9%86-%D9%88%D8%A7%D9%84%D9%85%D8%A8/2184413553/reviews,https://abjjadst.blob.core.windows.net/pub/8ed880b4-463f-497a-a447-5b390e3a7ab1-192X290.JPG
8,دار النفائس,الأعشاب في كتاب: الاستخدامات الطبية– العلاجية- التجميلية- التصنيعية,تأليف هاني عرموش (تأليف) موفق العمري (ترجمة),"المؤلفون
2",يشتمل على موسوعة عشبية تتضمن دراسة مفصلة عن الأعشاب المختلفة مع أسمائها بشكل هجائي مع صورة ملونة للعشبة مع طرق معالجتها بالأعشاب واستخداماتها الطبية والعلاجية والتجميلية والتصنيعية ,صحة وطب علاج زراعة وحيوان علم النبات,3.6,"مراجعات
1","اقتباسات
2","القرّاء
61",880 صفحة,"طبعات
1",نشر سنة 2007,,https://www.abjjad.com/book/2191097944/%D8%A7%D9%84%D8%A7%D8%B9%D8%B4%D8%A7%D8%A8-%D9%81%D9%8A-%D9%83%D8%AA%D8%A7%D8%A8-%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85%D8%A7%D8%AA-%D8%A7%D9%84%D8%B7%D8%A8%D9%8A%D8%A9-%D8%A7%D9%84%D8%B9%D9%84%D8%A7%D8%AC%D9%8A%D8%A9-%D8%A7/2191327321/reviews,https://abjjadst.blob.core.windows.net/pub/4084da67-cec2-4ed3-9208-5f410eaacc90-192X290.jpg
9,دار الشروق للنشر والتوزيع,المعجم الشامل في مصطلحات التغذية وعلوم الأغذية انجليزي/عربي,تأليف حامد التكروري (تأليف) سلمى خليل طوقان (تأليف) محمد علي حميض (تأليف),"المؤلفون
3",يشمل هذا المعجم قرابة 15 ألف مصطلح في الغذاء والتغذية والعلوم ذات العلاقة ، ويضم العديد من المصطلحات الحديثة خاصة في مجال تكنولوجيا الأغذية كما يحتوي على المرادفات الشائعة الاستعمال في الأوساط الأكاديمية والميدانية ، وفي المناطق المختلفة من الوطن العربي ويشرح المفهوم العلمي حيثما كان ذلك مناسبا بالإضافة إلى تغطيته لمجموعة كبيرة من الأطعمة التقليدية ،والنباتات ، والأعشاب البرية ، بما في ذلك المأكولة ، شاملة الأسماء العلمية .هذا ويفيد المعجم كلا من الباحثين والعاملين في مجالات انتاج وتصنيع وتجارة الأغذية ، والصناعة الفندقية ،والتغذية .,زراعة وحيوان تغذية,3.9,"مراجعات
1",اقتباسات,"القرّاء
56",437 صفحة,"طبعات
1",نشر سنة 2003,,https://www.abjjad.com/book/2172486329/%D8%A7%D9%84%D9%85%D8%B9%D8%AC%D9%85-%D8%A7%D9%84%D8%B4%D8%A7%D9%85%D9%84-%D9%81%D9%8A-%D9%85%D8%B5%D8%B7%D9%84%D8%AD%D8%A7%D8%AA-%D8%A7%D9%84%D8%AA%D8%BA%D8%B0%D9%8A%D8%A9-%D9%88%D8%B9%D9%84%D9%88%D9%85-%D8%A7%D9%84%D8%A7%D8%BA%D8%B0%D9%8A/2172682938/reviews,https://abjjadst.blob.core.windows.net/pub/ca796973-10d5-4ce6-a2c3-ab3534744e2a-192X290.JPG
10,ISBN 9- 1765- 10- 977,أساسيات علم الحشرات,تأليف محمد محمد الشاذلي (تأليف) علي علي المرسي (تأليف),"المؤلفون
2",يتناول الكتاب أسس علم الحشرات في ستة أجزاء وثمانية عشر فصلا. الجزء الأول : التركيب والوظيفة، يتناول هذا الجزء شرحا للشكل الخارجي والتشريح الداخلي والتركيب الدقيق ومبادئ فسيولوجيا الحشرات. الجزء الثاني: بيولوجيا النمو والتنوع، ويتناول بيولوجية النمو والتحول والنمو الجنيني وتنوع طائفة الحشرات وتقسيمها. الجزء الثالث: علم الحشرات الاقتصادي، ويتناول الآفات الزراعية وآفات الحبوب المخزونة والحشرات الطبية بالإضافة إلى الحشرات النافعة. الجزء الرابع: البئية والسلوك، ويتناول هذا الجزء بعض أسس علم بيئة الحشرات وسلوك الحشرات والطرق غير المألوفة في نمو وتكاثر الحشرات. الجزء الخامس: مكافحة الآفات، ويتناول هذا الجزء المكافحة بالطرق الكيميائية والبيولوجية وأحدث الاتجاهات في مكافحة الآفات. الجزء السادس: ويتناول موضوع الساعة ألا وهو البيولوجيا الجزئية وتطبيقاتها في مجالات علم الحشرات.,زراعة وحيوان علم الحيوان,2.3,"مراجعات
3","اقتباسات
2","القرّاء
56",1032 صفحة,"طبعات
1",نشر سنة 2004,,https://www.abjjad.com/book/2184249655/%D8%A7%D8%B3%D8%A7%D8%B3%D9%8A%D8%A7%D8%AA-%D8%B9%D9%84%D9%85-%D8%A7%D9%84%D8%AD%D8%B4%D8%B1%D8%A7%D8%AA/2184479032/reviews,https://abjjadst.blob.core.windows.net/pub/dc750abf-8f4b-42b4-91ed-70cca25a9a59-192X290.PNG
11,ISBN 13 978-2-7451-2243-8,كتاب الحيوان 1/4 مع الفهارس,تأليف عمرو بن بحر الجاحظ (تأليف),"المؤلفون
1",يوهم العنوان الذي وسم به الكتاب أنه مقصور على الحيوان، إلا أن الكتاب يتضمن علوما ومعارف أكبر من العنوان، فقد أطنب المؤلف في ذكر آي القرآن الكريم والحديث الشريف، وفيه صورة للعصر العباسي وما انطوى عليه من ثقافة متشعبة الأطراف، وعادات سائدة حينذاك، كما تحدث عن الأمراض التي تعترض الإنسان 			هو أبو عثمان عمرو بن بحر بن محبوب بن فزارة الليثي الكناني البصري (159-255 هـ) أديب مسلم كان من كبار أئمة الأدب في العصر العباسي، ولد في البصرة وتوفي فيها. مختلف في أصله فمنهم من قال بأنه عربي من قبيلة كنانة ومنهم من قال بأن أصله يعود للزنج وأن جده كان مولى لرجل من بني كنانة بسبب هيئته. كان ثمة نتوء واضحٌ في حدقتيه والحيوان وطرق علاجها، وتطرق إلى المسائل الكلامية التي عرف بها المعتزلة، وتحدث عن خصائص كثيرة من البلدان وعرض لبعض قضايا التاريخ ولكن كل هذه العلوم كانت رهينة لفكاهة الجاحظ التي يلقيها بين الفينة والأخرى . وقد وضعنا حواشي للكتاب في شرح المفردات المبهمة ومقارنات مع كتب أدبية أخرى للجاحظ ولغيره وألحقنا فهارس عامة في آخر الكتاب	 فلقب بالحدقي ولكنَّ اللقب الذي التصق به أكثر وبه طارت شهرته في الآفاق هو الجاحظ، عمّر الجاحظ نحو تسعين عاماً وترك كتباً كثيرة يصعب حصرها، وإن كان البيان والتبيين وكتاب الحيوان والبخلاء أشهر هذه الكتب، كتب في علم الكلام والأدب والسياسية والتاريخ والأخلاق والنبات والحيوان والصناعة والنساء وغيرها. ولد في مدينة البصرة نشأ فقيرا، وكان دميما قبيحا جاحظ العينين عرف عنه خفة الروح وميله إلى الهزل والفكاهة، ومن ثم كانت كتاباته على اختلاف مواضيعها لا تخلو من الهزل والتهكم. طلب العلم في سن مبكّرة، فقرأ القرآن ومبادئ اللغة على شيوخ بلده، ولكن اليتم والفقر حال دون تفرغه لطلب العلم، فصار,زراعة وحيوان علم الحيوان,4.5,"مراجعات
2",اقتباسات,"القرّاء
53",2072 صفحة,"طبعات
2",نشر سنة 2010,,https://www.abjjad.com/book/15454686/%D9%83%D8%AA%D8%A7%D8%A8-%D8%A7%D9%84%D8%AD%D9%8A%D9%88%D8%A7%D9%86-1-4-%D9%85%D8%B9-%D8%A7%D9%84%D9%81%D9%87%D8%A7%D8%B1%D8%B3/24755710/reviews,https://abjjadst.blob.core.windows.net/pub/930a5a68-9edf-47fe-8162-d10304b7e3de-192X290.jpg
